id,ward,accident,crimes,person,density,IMD,NEET,unemployment,light_count
1,Ancoats&燘eswick燱ard,19,2753,15239,52,40.882,2.54,3.68,2409
2,Ardwick燱ard,34,5181,24133,60,40.998,0.62,4.84,2880
3,Baguley燱ard,21,2529,14665,38,46.092,2.36,6.23,2125
4,Brooklands燱ard,8,1897,14737,34,35.162,1.54,5.23,1778
5,Burnage燱ard,21,2388,17421,66,38.926,2.27,6.05,1639
6,Charlestown燱ard,16,2956,16237,42,48.36,2.13,6.85,1943
7,Cheetham燱ard,28,4925,20557,61,42.269,0.6,7.01,2549
8,Chorlton燩ark燱ard,27,2162,16848,34,32.898,1.17,4.95,1882
9,Chorlton燱ard,10,1343,13017,52,17.606,0.92,3.16,1039
10,Clayton&燨penshaw燱ard,26,3620,18320,37,57.069,1.14,9.65,2650
11,Crumpsall燱ard,8,2809,17080,53,41.941,1.02,6.9,1554
12,Deansgate燱ard,39,14172,18790,95,24.139,0,0.82,2444
13,Didsbury燛ast燱ard,10,1835,14493,40,18.964,0.37,2.55,1657
14,Didsbury燱est燱ard,16,2123,15470,46,15.516,0,2.2,1516
15,Fallowfield燱ard,26,2043,16581,81,33.19,1.82,3.62,1282
16,Gorton&燗bbey燞ey燱ard,24,3993,21365,55,51.238,1.82,9.06,2372
17,Harpurhey燱ard,34,5645,19872,48,59.08,3.07,8.61,3152
18,Higher燘lackley燱ard,23,2583,14849,20,48.956,2.09,6.7,1785
19,Hulme燱ard,39,4182,22038,82,30.627,3.11,4.07,2428
20,Levenshulme燱ard,27,2987,19180,76,39.728,1.3,8.37,1458
21,Longsight燱ard,27,2842,19379,68,47.402,1.26,9.54,1964
22,Miles燩latting&燦ewton燞eath燱ard,34,4218,17855,34,62.701,2.13,7.93,3226
23,Moss燬ide燱ard,25,3197,20745,126,45.841,0.93,9.04,1797
24,Moston燱ard,6,4150,17831,52,40.898,1.23,6.56,2048
25,Northenden燱ard,27,2191,13904,27,44.02,2.24,6,1919
26,Old燤oat燱ard,18,2206,14845,82,34.002,2.55,5.48,1127
27,Piccadilly燱ard,47,16552,20356,105,26.831,0,1.38,2540
28,Rusholme燱ard,23,2974,17507,81,36.926,0.48,5.84,1291
29,Sharston燱ard,8,2277,16570,51,48.292,3.08,6.03,1797
30,Whalley燫ange燱ard,13,1833,16137,71,33.372,1.16,7.62,1143
31,Withington燱ard,16,1896,15074,81,24.725,0.99,3.53,1035
32,Woodhouse燩ark燱ard,19,4868,14646,13,50.557,2.93,8.82,2885
